bodyId_pre,bodyId_post,weight
12781,815233,3
12781,815028,3
556329,806800,3
556329,805603,3
556329,804081,3
12781,264429,3
556329,209503,3
556329,183993,3
12781,815459,3
12781,259513,3
12781,817957,3
12781,817897,3
12781,817850,3
12781,817833,3
12781,817827,3
12781,258520,3
12781,255563,3
12781,252308,3
12781,252264,3
556329,802852,3
556329,802196,3
556329,801533,3
556329,278901,3
556329,225619,3
556329,801143,3
556329,800998,3
556329,800868,3
556329,800822,3
556329,800763,3
556329,800671,3
556329,800281,3
556329,800232,3
556329,800221,3
556329,800220,3
12781,815977,3
12781,815842,3
556329,569556,3
556329,535512,3
12781,276101,3
12781,275782,3
12781,275384,3
12781,270753,3
556329,302835,3
556329,302428,3
12781,265858,3
12781,265662,3
556329,530835,3
556329,520131,3
12781,426803,3
12781,404484,3
12781,402408,3
12781,379434,3
556329,515767,3
556329,513285,3
556329,512555,3
12781,904393,3
12781,903747,3
556329,326200,3
556329,435333,3
556329,429544,3
556329,428438,3
556329,394013,3
556329,393736,3
556329,361588,3
556329,353353,3
556329,353032,3
12781,904667,3
556329,289728837,3
556329,264483828,3
556329,896481080,3
556329,952273252,3
556329,492683804,2
556329,1054086974,2
556329,667666105,2
556329,666356211,2
556329,628764882,2
556329,1023184841,2
556329,969739619,2
12781,312492,2
556329,358291260,2
556329,348727044,2
556329,261053804,2
556329,256503709,2
12781,818621,2
